Artist_Albums_Number,Artist_Albums_Tracks_Number,Artist_Appearances_Number,Artist_Appearances_Tracks_Number,Artist_Compilations_Number,Artist_Compilations_Tracks_Number,Artist_Follower,Artist_ID,Artist_Popularity,Artist_Singles_Number,Artist_Singles_Tracks_Number,Genre,Release_Date,Streams,Track_Artist,Track_Duration_ms,Track_ID,Track_Popularity,Track_Title,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,commentCount,dislikeCount,likeCount,video_ID,viewsCount,Charts
3,41,26,431,0,0,2373939,5JZ7CnR6gTvEMKX4g70Amv,90,28,45,Pop,2018-05-31,88407,Lauv,197436,2P91MQbaiQOfbiz9VqhqKQ,77,I Like Me Better,"0,535","0,752","0,505","0,00000255",9,"0,104","-7,621",1,"0,253","91,97",4,"0,419",21221,16462,1024631,BcqxLCWn-CE,76869482,1
17,232,242,2115,0,0,15801999,5WUlDfRSoLAfcVSX1WnrxN,89,52,103,Pop,2019-03-14,168328,Sia,175823,3Y7a0typ6ik1KscmebXd6D,22,No New Friends,"0,0648","0,724","0,702","0,000256",7,"0,121","-4,622",1,"0,0429","106,044",4,"0,688",16136,18297,671563,kkUIdK9eaIk,35666331,1
62,902,121,3284,34,1180,163949,2nvKpWcP8etYTq4JrRiUiy,61,17,29,Pop,1991-11-18,1194983,Cliff Richard,245333,3AgiRs3oxc2dFh0CPUHXJs,53,Mistletoe and Wine,"0,69","0,498","0,432",0,9,"0,136","-14,392",1,"0,0345","135,002",3,"0,364",206,595,11319,rZCEBibnRM8,2583132,1
4,57,34,1685,4,31,129894,7CyeXFnOrfC1N6z4naIpgo,64,1,1,Pop,2019-11-08,2224261,The Ronettes,180832,1ODZGydlown4VesUP8HLJX,39,Sleigh Ride,"0,457","0,527","0,768","0,00000236",2,"0,304","-7,557",1,"0,0304","91,75",4,"0,799",1656,1321,40764,Y6rDA2Czz0E,11733733,1
3,47,122,2189,0,0,5514835,5CCwRZC6euC8Odo6y9X8jr,82,50,86,Pop,2018-11-23,2815624,Rita Ora,191120,5Fla3zyOCcIRqrDoKLU0DP,70,Let You Love Me,"0,275","0,475","0,846",0,10,"0,0824","-3,344",1,"0,283","96,036",4,"0,451",25477,57071,1543207,XCQK6LmhYqc,405437416,1
1,12,1,18,0,0,370642,0JBdTCGs111JKKYfLqOEBa,66,9,14,Pop,2019-09-19,321830,Shirin David,181666,21jodIFxeMga1yLqFAoPdq,44,Gibt es Dich?,"0,699","0,636","0,427","0,00000163",6,"0,117","-10,991",0,"0,513","90,583",5,"0,614",68,108,2068,anm51b-wkBQ,201567,1
10,153,87,1130,0,0,60136077,6eUKZXaKkcviH0Ku9w2n3V,96,70,52,Pop,2019-07-12,1265049,Ed Sheeran,189733,1AI7UPw3fgwAFkvAlZWhE0,74,Take Me Back to London (feat. Stormzy),"0,219","0,885","0,762",0,8,"0,162","-5,513",0,"0,216","138,059",4,"0,605",34117,22925,793151,XJQy_R9CYR4,60116012,1
0,0,9,502,0,0,748052,2NjfBq1NflQcKSeiDooVjY,91,3,10,Pop,2019-05-10,106824437,Tones and I,209754,1rgnBhdG2JDFTbYkYRZAku,76,Dance Monkey,"0,688","0,825","0,593","0,000161",6,"0,17","-6,401",0,"0,0988","98,078",4,"0,54",174658,322184,7494590,q0hyYWKXF0Q,748367421,1
5,55,45,1809,0,0,1628519,25u4wHJWxCA9vO0CzxAbK7,77,8,10,Pop,2019-11-08,622568,Lukas Graham,240689,1Cth2nNUYYfCiSoIei6rCi,55,HERE (For Christmas),"0,296","0,742","0,625",0,8,"0,148","-5,296",1,"0,059","114,902",4,"0,31",1732,546,58130,DGyMjoIfgIw,2548925,1
1,11,11,170,0,0,504848,06nvjg4wBANK6DCHjqtPNd,74,12,12,Pop,2019-02-22,4167421,Mahmood,195133,4szQkW1CDHqbRZGltXJdd3,72,Soldi,"0,0361","0,729","0,589",0,3,"0,305","-9,871",0,"0,0483","95,065",4,"0,349",80532,102868,1460821,22lISUXgSUw,151289017,1
